time,total_queue_length,waiting_for_seat_count,occupied_seats,finished_students,seat_utilization
418,2,0,34,0,0.3400
419,2,0,34,0,0.3400
420,2,0,34,0,0.3400
421,1,0,35,0,0.3500
422,1,0,35,0,0.3500
423,1,0,35,0,0.3500
424,1,0,35,0,0.3500
425,1,0,35,0,0.3500
426,1,0,35,0,0.3500
427,1,0,35,0,0.3500
428,1,0,35,0,0.3500
429,1,0,35,0,0.3500
430,1,0,35,0,0.3500
431,1,0,35,0,0.3500
432,1,0,35,0,0.3500
433,1,0,35,0,0.3500
434,0,0,36,0,0.3600
435,0,0,36,0,0.3600
436,0,0,36,0,0.3600
437,0,0,36,0,0.3600
438,0,0,36,0,0.3600
439,0,0,36,0,0.3600
440,0,0,36,0,0.3600
441,0,0,36,0,0.3600
442,0,0,36,0,0.3600
443,0,0,36,0,0.3600
444,0,0,36,0,0.3600
445,0,0,36,0,0.3600
446,0,0,36,0,0.3600
447,0,0,36,0,0.3600
448,0,0,36,0,0.3600
449,1,0,36,0,0.3600
450,1,0,36,0,0.3600
451,1,0,36,0,0.3600
452,1,0,36,0,0.3600
453,1,0,36,0,0.3600
454,1,0,36,0,0.3600
455,1,0,36,0,0.3600
456,1,0,36,0,0.3600
457,2,0,36,0,0.3600
458,2,0,36,0,0.3600
459,2,0,36,0,0.3600
460,2,0,36,0,0.3600
461,2,0,36,0,0.3600
462,2,0,36,0,0.3600
463,2,0,36,0,0.3600
464,3,0,36,0,0.3600
465,3,0,36,0,0.3600
466,3,0,36,0,0.3600
467,3,0,36,0,0.3600
468,4,0,36,0,0.3600
469,4,0,36,0,0.3600
470,3,0,37,0,0.3700
471,3,0,37,0,0.3700
472,3,0,37,0,0.3700
473,3,0,37,0,0.3700
474,3,0,37,0,0.3700
475,3,0,37,0,0.3700
476,3,0,37,0,0.3700
477,2,0,38,0,0.3800
478,2,0,38,0,0.3800
479,2,0,38,0,0.3800
480,2,0,38,0,0.3800
481,2,0,38,0,0.3800
482,2,0,38,0,0.3800
483,3,0,39,0,0.3900
484,3,0,39,0,0.3900
485,3,0,39,0,0.3900
486,2,0,40,0,0.4000
487,2,0,40,0,0.4000
488,2,0,40,0,0.4000
489,2,0,40,0,0.4000
490,2,0,40,0,0.4000
491,2,0,40,0,0.4000
492,2,0,40,0,0.4000
493,2,0,40,0,0.4000
494,2,0,40,0,0.4000
495,2,0,40,0,0.4000
496,2,0,40,0,0.4000
497,2,0,40,0,0.4000
498,2,0,40,0,0.4000
499,2,0,40,0,0.4000
500,2,0,40,0,0.4000
501,2,0,40,0,0.4000
502,2,0,40,0,0.4000
503,2,0,40,0,0.4000
504,1,0,41,0,0.4100
505,1,0,41,0,0.4100
506,1,0,41,0,0.4100
507,1,0,41,0,0.4100
508,1,0,41,0,0.4100
509,1,0,41,0,0.4100
510,1,0,41,0,0.4100
511,0,0,42,0,0.4200
512,1,0,42,0,0.4200
513,1,0,42,0,0.4200
514,1,0,42,0,0.4200
515,1,0,42,0,0.4200
516,1,0,42,0,0.4200
517,1,0,42,0,0.4200
518,1,0,42,0,0.4200
519,1,0,42,0,0.4200
520,1,0,42,0,0.4200
521,1,0,42,0,0.4200
522,1,0,42,0,0.4200
523,1,0,42,0,0.4200
524,1,0,42,0,0.4200
525,1,0,42,0,0.4200
526,1,0,42,0,0.4200
527,1,0,42,0,0.4200
528,1,0,42,0,0.4200
529,1,0,42,0,0.4200
530,1,0,42,0,0.4200
531,1,0,42,0,0.4200
532,2,0,42,0,0.4200
533,2,0,42,0,0.4200
534,2,0,42,0,0.4200
535,2,0,42,0,0.4200
536,2,0,42,0,0.4200
537,2,0,42,0,0.4200
538,2,0,42,0,0.4200
539,2,0,42,0,0.4200
540,2,0,42,0,0.4200
541,2,0,42,0,0.4200
